Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Date,Dublin Core:Coverage,Dublin Core:Source,Dublin Core:Format,Dublin Core:Type,Dublin Core:Subject,Dublin Core:Rights,Dublin Core:Identifier,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:URL
Big Tree Inn,Big Tree Inn winter street view,Unknown,1957-02,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0014,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0014.jpg
Livingston County Historical Museum,,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0015,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0015.jpg
St. Mary's Church and Rectory,"Post card published by Ulmer's Drug Store, Geneseo, N.Y. ",Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0018,postcard; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0018.jpg
St. Michael's Episcopal Church,"Post card published by Ulmer's Drug Store, Geneseo, N.Y. ",Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.96 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0019,postcard; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0019.jpg
,,"Smith, Roger B.",1965-02,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.14 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0021,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0021.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0024,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0024.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0025,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0025.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0028,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0028.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.05 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0030,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0030.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.74 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0031,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0031.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.70 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0032,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0032.jpg
