Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.62 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0061,photograph; b&w,
,verso: From Elizabeth street looking up slope on site fo new Dorm,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0062,photograph; b&w,
,verso: Showing slope from parking lot down to Elizabeth Street,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0063,photograph; b&w,
,verso: Bedy #11 (Dormitory) Roof over west end.,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0064,photograph; b&w,
,1st house on Elizabeth street to be acquired for Dorm Site,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0065,photograph; b&w,
House,Front of Alpha Kappa Phi Sorority. The Agonian Sorority.,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0066,photograph; b&w,
Maple Beach Inn,"North view, Maple Beach Inn, Conesus Lake ",John Balding & Son,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.45 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0067,postcard; sepia,
Cowan House,verso: Cowan House (Dentist) Saunders house 1945-1960,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.42 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0068,photograph; b&w,
Greek House,Greek Phi Alpha Zeta House,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.80 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0069,photograph; b&w,
Fennell House,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.66 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0070,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.66 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0071,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0072,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.90 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0073,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.97 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0074,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0075,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0076,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0077,photograph; b&w,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.88 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0078,photograph; b&w,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0079,photograph; b&w,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.13 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0080,photograph; b&w,
,verso: Wade House ,Unknown,1942-03,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.18 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0081,photograph; b&w,
Wadsworth House,"Wadsworth Homestead. verso: Former home of J.W. Wadsworth, Sr Congressman now home of the son Senator J.W. Wadsworth, Jr. Later Congressman J.W. Wadsworth jr. ",Wilcox Photo Studio ,1938,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.61 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0082,photograph; b&w,
