Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.02 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2694,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2695,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 24.32 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2696,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2697,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2698,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 24.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2699,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2700,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2701,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.72 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2702,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.29 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2703,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.97 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2704,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.65 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2705,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2706,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2707,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.26 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2708,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.44 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2709,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2710,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.16 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2711,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.86 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2712,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2713,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2714,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2715,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 15.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2716,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.65 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2717,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.77 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2718,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.77 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2719,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.96 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2720,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.95 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2721,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.38 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2722,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.53 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2723,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2724,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2725,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2726,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2727,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.97 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2728,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2729,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 18.96 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2730,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2731,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 24.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2732,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 24.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2732a,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 25.08 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2733,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 24.43 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2734,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.98 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2735,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.96 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2736,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 18.32 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2737,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2738,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2739,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2740,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2741,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2742,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.38 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2742a,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.53 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2743,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2744,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2745,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2746,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2747,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 16.79 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2748,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.31 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2749,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.91 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2750,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2751,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.29 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2752,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.04 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2753,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.24 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2754,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.24 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2755,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.24 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2755a,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 24.11 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2756,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.43 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2757,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.28 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2758,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.28 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2759,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.29 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2760,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.29 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2761,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.84 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2762,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.32 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2763,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.32 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2764,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2765,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2765a,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2766,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2767,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.66 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2768,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2769,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.77 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2770,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.78 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2771,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2772,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2773,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2774,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.46 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2775,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.46 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2776,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.46 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2777,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.46 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2778,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.46 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2779,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2780,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2781,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.14 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2782,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.98 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2783,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2784,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.33 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2785,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.55 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2786,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.52 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2787,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.20 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2788,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.90 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2789,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.86 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2790,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.40 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2791,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.16 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2792,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 24.41 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2793,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.23 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2794,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.10 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2795,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.19 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2796,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2797,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2798,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2799,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.02 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2800,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.02 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2801,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.02 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2802,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.61 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2803,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 27.38 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2804,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 21.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2805,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.65 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2806,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.42 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2807,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.69 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2808,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.90 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2809,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 16.17 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2810,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2811,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 15.88 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2812,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.16 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2813,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 16.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto2814,,
